detector - descriptor,Frame,lidar TTC,Camera TTC,Difference,
AKAZE-SIFT,Frame7,13.731432,19.498427,5.766995,
AKAZE-SIFT,Frame8,13.790126,15.580770,1.790644,
AKAZE-SIFT,Frame9,12.058994,16.681752,4.622758,
AKAZE-SIFT,Frame10,11.864185,13.957518,2.093333,
AKAZE-SIFT,Frame11,11.968197,12.854040,0.885843,
AKAZE-SIFT,Frame12,9.887113,12.113026,2.225913,
AKAZE-SIFT,Frame13,9.425037,11.120912,1.695875,
AKAZE-SIFT,Frame14,9.302148,10.307339,1.005191,
AKAZE-SIFT,Frame15,8.321200,10.537315,2.216115,
AKAZE-SIFT,Frame16,8.898673,9.336379,0.437706,
AKAZE-SIFT,Frame17,11.030114,9.636986,1.393128,
AKAZE-SIFT,Frame18,8.535568,8.883151,0.347583,
 , , , , ,
SIFT-BRISK,Frame1,12.289100,11.638045,0.651055,
SIFT-BRISK,Frame2,13.354725,13.045436,0.309289,
SIFT-BRISK,Frame3,16.384452,12.121773,4.262679,
SIFT-BRISK,Frame4,14.076445,20.303242,6.226797,
SIFT-BRISK,Frame5,12.729945,12.371803,0.358142,
SIFT-BRISK,Frame6,13.751074,10.291592,3.459482,
SIFT-BRISK,Frame7,13.731432,14.794088,1.062656,
SIFT-BRISK,Frame8,13.790126,14.271210,0.481084,
SIFT-BRISK,Frame9,12.058994,10.797864,1.261130,
SIFT-BRISK,Frame10,11.864185,9.471864,2.392322,
SIFT-BRISK,Frame11,11.968197,11.102470,0.865727,
SIFT-BRISK,Frame12,9.887113,11.490856,1.603743,
SIFT-BRISK,Frame13,9.425037,9.903050,0.478013,
SIFT-BRISK,Frame14,9.302148,9.591624,0.289476,
SIFT-BRISK,Frame15,8.321200,8.844528,0.523328,
SIFT-BRISK,Frame16,8.898673,9.593200,0.694526,
SIFT-BRISK,Frame17,11.030114,10.135888,0.894225,
SIFT-BRISK,Frame18,8.535568,8.047336,0.488232,
 , , , , ,
SIFT-BRIEF,Frame1,12.289100,11.629071,0.660029,
SIFT-BRIEF,Frame2,13.354725,11.682748,1.671977,
SIFT-BRIEF,Frame3,16.384452,12.121773,4.262679,
SIFT-BRIEF,Frame4,14.076445,19.927343,5.850897,
SIFT-BRIEF,Frame5,12.729945,11.853296,0.876649,
SIFT-BRIEF,Frame6,13.751074,9.804839,3.946235,
SIFT-BRIEF,Frame7,13.731432,14.053083,0.321651,
SIFT-BRIEF,Frame8,13.790126,12.669516,1.120610,
SIFT-BRIEF,Frame9,12.058994,11.164582,0.894412,
SIFT-BRIEF,Frame10,11.864185,10.118097,1.746088,
SIFT-BRIEF,Frame11,11.968197,12.404115,0.435918,
SIFT-BRIEF,Frame12,9.887113,10.474820,0.587707,
SIFT-BRIEF,Frame13,9.425037,10.147067,0.722030,
SIFT-BRIEF,Frame14,9.302148,9.041241,0.260906,
SIFT-BRIEF,Frame15,8.321200,8.548073,0.226872,
SIFT-BRIEF,Frame16,8.898673,8.934080,0.035406,
SIFT-BRIEF,Frame17,11.030114,10.135888,0.894225,
SIFT-BRIEF,Frame18,8.535568,7.546174,0.989394,
 , , , , ,
SIFT-FREAK,Frame1,12.289100,11.732854,0.556246,
SIFT-FREAK,Frame2,13.354725,14.692051,1.337326,
SIFT-FREAK,Frame3,16.384452,12.954651,3.429802,
SIFT-FREAK,Frame4,14.076445,22.532259,8.455814,
SIFT-FREAK,Frame5,12.729945,14.212164,1.482219,
SIFT-FREAK,Frame6,13.751074,11.611273,2.139801,
SIFT-FREAK,Frame7,13.731432,14.901018,1.169586,
SIFT-FREAK,Frame8,13.790126,14.657305,0.867180,
SIFT-FREAK,Frame9,12.058994,11.917434,0.141560,
SIFT-FREAK,Frame10,11.864185,10.890531,0.973655,
SIFT-FREAK,Frame11,11.968197,12.059933,0.091735,
SIFT-FREAK,Frame12,9.887113,10.875228,0.988114,
SIFT-FREAK,Frame13,9.425037,9.377919,0.047118,
SIFT-FREAK,Frame14,9.302148,8.484248,0.817900,
SIFT-FREAK,Frame15,8.321200,9.121832,0.800632,
SIFT-FREAK,Frame16,8.898673,9.317570,0.418896,
SIFT-FREAK,Frame17,11.030114,9.076054,1.954059,
SIFT-FREAK,Frame18,8.535568,8.220228,0.315340,
 , , , , ,
SIFT-SIFT,Frame1,12.289100,11.638045,0.651055,
SIFT-SIFT,Frame2,13.354725,12.560479,0.794246,
SIFT-SIFT,Frame3,16.384452,13.066063,3.318389,
SIFT-SIFT,Frame4,14.076445,20.303242,6.226797,
SIFT-SIFT,Frame5,12.729945,12.371803,0.358142,
SIFT-SIFT,Frame6,13.751074,10.092705,3.658369,
SIFT-SIFT,Frame7,13.731432,14.912947,1.181515,
SIFT-SIFT,Frame8,13.790126,13.506948,0.283178,
SIFT-SIFT,Frame9,12.058994,10.797864,1.261130,
SIFT-SIFT,Frame10,11.864185,9.998597,1.865588,
SIFT-SIFT,Frame11,11.968197,12.054515,0.086318,
SIFT-SIFT,Frame12,9.887113,11.949105,2.061992,
SIFT-SIFT,Frame13,9.425037,10.170998,0.745961,
SIFT-SIFT,Frame14,9.302148,9.731515,0.429367,
SIFT-SIFT,Frame15,8.321200,9.053977,0.732777,
SIFT-SIFT,Frame16,8.898673,9.580399,0.681726,
SIFT-SIFT,Frame17,11.030114,10.135888,0.894225,
SIFT-SIFT,Frame18,8.535568,8.047336,0.488232,
 , , , , ,
