Detector - Descriptor,Frame,Numner of keypoints,Total elapsed time,
FAST-ORB,Frame 4,5090,39.485238,
FAST-ORB,Frame 5,5118,35.026140,
FAST-ORB,Frame 6,5180,35.782719,
FAST-ORB,Frame 7,5192,58.130935,
FAST-ORB,Frame 8,5177,31.434604,
FAST-ORB,Frame 9,5176,31.083406,
FAST-ORB,Frame 10,5225,33.613328,
FAST-ORB,Frame 11,5331,32.262575,
FAST-ORB,Frame 12,5351,39.141795,
FAST-ORB,Frame 13,5244,41.218406,
FAST-ORB,Frame 14,5231,34.077866,
FAST-ORB,Frame 15,5286,45.150353,
FAST-ORB,Frame 16,5464,49.297864,
FAST-ORB,Frame 17,5464,36.664131,
FAST-ORB,Frame 18,5563,41.291422,
FAST-ORB,Frame 19,5497,39.060474,
 , , , ,
FAST-FREAK,Frame 1,5275,172.788962,
FAST-FREAK,Frame 2,5291,159.866665,
FAST-FREAK,Frame 3,5202,223.742613,
FAST-FREAK,Frame 4,5090,159.351182,
FAST-FREAK,Frame 5,5118,156.752381,
FAST-FREAK,Frame 6,5180,155.225747,
FAST-FREAK,Frame 7,5192,180.206284,
FAST-FREAK,Frame 8,5177,240.363045,
FAST-FREAK,Frame 9,5176,161.759351,
FAST-FREAK,Frame 10,5225,177.525097,
FAST-FREAK,Frame 11,5331,174.392614,
FAST-FREAK,Frame 12,5351,168.126072,
FAST-FREAK,Frame 13,5244,204.434907,
FAST-FREAK,Frame 14,5231,179.781531,
FAST-FREAK,Frame 15,5286,169.546071,
FAST-FREAK,Frame 16,5464,349.399145,
FAST-FREAK,Frame 17,5464,249.829531,
FAST-FREAK,Frame 18,5563,352.683960,
FAST-FREAK,Frame 19,5497,177.716949,
 , , , ,
BRISK-BRISK,Frame 1,2896,165.803156,
BRISK-BRISK,Frame 2,3000,172.805580,
BRISK-BRISK,Frame 3,2974,161.914889,
BRISK-BRISK,Frame 4,2953,161.092482,
BRISK-BRISK,Frame 5,2855,159.530461,
BRISK-BRISK,Frame 6,2906,161.171610,
BRISK-BRISK,Frame 7,2886,170.622230,
BRISK-BRISK,Frame 8,2886,175.442235,
BRISK-BRISK,Frame 9,2893,164.080141,
BRISK-BRISK,Frame 10,2930,163.919809,
BRISK-BRISK,Frame 11,3022,168.554311,
BRISK-BRISK,Frame 12,3013,207.213530,
BRISK-BRISK,Frame 13,2949,186.284538,
BRISK-BRISK,Frame 14,3012,185.030957,
BRISK-BRISK,Frame 15,3026,186.130941,
BRISK-BRISK,Frame 16,3074,195.963340,
BRISK-BRISK,Frame 17,3131,201.745423,
BRISK-BRISK,Frame 18,3135,193.244751,
BRISK-BRISK,Frame 19,3146,198.409834,
 , , , ,
BRISK-BRIEF,Frame 1,2896,137.796905,
BRISK-BRIEF,Frame 2,3000,130.916577,
BRISK-BRIEF,Frame 3,2974,132.706071,
BRISK-BRIEF,Frame 4,2953,127.451743,
BRISK-BRIEF,Frame 5,2855,178.891829,
BRISK-BRIEF,Frame 6,2906,128.380761,
BRISK-BRIEF,Frame 7,2886,133.999447,
BRISK-BRIEF,Frame 8,2886,128.484969,
BRISK-BRIEF,Frame 9,2893,129.718301,
BRISK-BRIEF,Frame 10,2930,133.863533,
BRISK-BRIEF,Frame 11,3022,140.725580,
BRISK-BRIEF,Frame 12,3013,137.575982,
BRISK-BRIEF,Frame 13,2949,146.169345,
BRISK-BRIEF,Frame 14,3012,143.677167,
BRISK-BRIEF,Frame 15,3026,141.414441,
BRISK-BRIEF,Frame 16,3074,139.052206,
BRISK-BRIEF,Frame 17,3131,137.718909,
BRISK-BRIEF,Frame 18,3135,146.979620,
BRISK-BRIEF,Frame 19,3146,153.160872,
 , , , ,
BRISK-ORB,Frame 1,2896,150.271712,
BRISK-ORB,Frame 2,3000,143.012487,
BRISK-ORB,Frame 3,2974,146.171026,
BRISK-ORB,Frame 4,2953,137.469016,
BRISK-ORB,Frame 5,2855,139.764606,
BRISK-ORB,Frame 6,2906,138.360516,
BRISK-ORB,Frame 7,2886,138.647703,
BRISK-ORB,Frame 8,2886,139.991030,
BRISK-ORB,Frame 9,2893,149.985961,
BRISK-ORB,Frame 10,2930,140.038264,
BRISK-ORB,Frame 11,3022,174.455429,
BRISK-ORB,Frame 12,3013,157.954658,
BRISK-ORB,Frame 13,2949,141.166052,
BRISK-ORB,Frame 14,3012,143.150243,
BRISK-ORB,Frame 15,3026,152.910069,
BRISK-ORB,Frame 16,3074,172.018631,
BRISK-ORB,Frame 17,3131,144.316994,
BRISK-ORB,Frame 18,3135,148.617786,
